#FORMAT=8899-SNAPSHOT-1
#MARK=2
#DATE=20260611
#POOL=Розничное ДУ
#PLANS=2
#ROWS=18
#CREATED=20260614160626

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|ed8da25e-e59e-4932-9edc-643a2add8ba9|0
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|4b4f7a79-db26-492d-a380-2b17ea75edcd|1
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|fc5efdc7-4f64-4d5a-bfe0-fa1eee366caf|0
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|74e61bfc-d148-4ae7-832e-b73d5a2f1164|0
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|f096371e-bb4e-4203-af5f-28d32833c95f|0
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
2966419f-5060-11f1-b2d7-0050569f27c0|d37f1f63-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|d37f1f89-67f1-11f1-85a8-00505689c994|1||0
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|ed8da25e-e59e-4932-9edc-643a2add8ba9|0
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|4b4f7a79-db26-492d-a380-2b17ea75edcd|1
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|fc5efdc7-4f64-4d5a-bfe0-fa1eee366caf|0
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|74e61bfc-d148-4ae7-832e-b73d5a2f1164|0
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|f096371e-bb4e-4203-af5f-28d32833c95f|0
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
2f5ddc0e-5060-11f1-b2d7-0050569f27c0|d37f1f76-67f1-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|d37f1fae-67f1-11f1-85a8-00505689c994|1||0
