#FORMAT=8899-SNAPSHOT-1
#MARK=
#DATE=20260612
#POOL=Розничное ДУ
#PLANS=17154
#ROWS=85505
#CREATED=20260618115022

ДоговорДУ|План|ГруппаОпераций|ПланПроведен|ТипДокумента|Документ|ДокументПроведен|ВидОперации|Выполнять
4feaac03-b57b-11f0-b2ca-0050569f27c0|2dad8c27-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
4feaac03-b57b-11f0-b2ca-0050569f27c0|2dad8c27-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
4feaac03-b57b-11f0-b2ca-0050569f27c0|2dad8c27-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
4feaac03-b57b-11f0-b2ca-0050569f27c0|2dad8c27-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad8f3c-6ae8-11f1-85a8-00505689c994|1||0
4feaac03-b57b-11f0-b2ca-0050569f27c0|2dad8c27-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad8d6a-6ae8-11f1-85a8-00505689c994|1||0
1b368e70-b74b-11f0-b2ca-0050569f27c0|2dad8c3a-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
1b368e70-b74b-11f0-b2ca-0050569f27c0|2dad8c3a-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
1b368e70-b74b-11f0-b2ca-0050569f27c0|2dad8c3a-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
1b368e70-b74b-11f0-b2ca-0050569f27c0|2dad8c3a-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad8d0b-6ae8-11f1-85a8-00505689c994|1||0
1b368e70-b74b-11f0-b2ca-0050569f27c0|2dad8c3a-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad8df0-6ae8-11f1-85a8-00505689c994|1||0
26d85970-bd70-11f0-b2ca-0050569f27c0|2dad8c4d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
26d85970-bd70-11f0-b2ca-0050569f27c0|2dad8c4d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
26d85970-bd70-11f0-b2ca-0050569f27c0|2dad8c4d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
26d85970-bd70-11f0-b2ca-0050569f27c0|2dad8c4d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad8d31-6ae8-11f1-85a8-00505689c994|1||0
26d85970-bd70-11f0-b2ca-0050569f27c0|2dad8c4d-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad8e83-6ae8-11f1-85a8-00505689c994|1||0
f46c891e-be22-11f0-b2ca-0050569f27c0|2dad8c60-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
f46c891e-be22-11f0-b2ca-0050569f27c0|2dad8c60-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
f46c891e-be22-11f0-b2ca-0050569f27c0|2dad8c60-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|2fc35b83-3d32-446f-b745-fd3aad76d7b0|1
f46c891e-be22-11f0-b2ca-0050569f27c0|2dad8c60-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Переоценка активов|2dad8da3-6ae8-11f1-85a8-00505689c994|1||0
f46c891e-be22-11f0-b2ca-0050569f27c0|2dad8c60-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|Расчет СЧА/РСА|2dad8ef2-6ae8-11f1-85a8-00505689c994|1||0
eff97030-be30-11f0-b2ca-0050569f27c0|2dad8c73-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|5e5d4997-eb05-49c4-98f5-f373c84e6992|1
eff97030-be30-11f0-b2ca-0050569f27c0|2dad8c73-6ae8-11f1-85a8-00505689c994|40e2a7ee-eac6-11e2-8084-005056b100fc|1|<строка плана>||0|8b24ba06-b0de-4ef9-b48d-247f98102e45|1
