algorithm	ms	calls	ms_per_call
Распорядители.ПроверкаИОтправка	518626	1	518626
РаботаСЛимитами.ЗаписатьПорциюРезультатов	229112	128	1789.9
ПроверкаЛимитов.Проверить	172526	128	1347.9
ПроверкаЛимитов.ОбработатьДерево	96972	69	1405.4
ПроверкаЛимитов.ДеревоЗначенийПоСоставу	45809	69	663.9
ВариантыПроверкиПороговЛимитов.ПроверитьЛимиты	24928	59	422.5
ВариантыПроверкиПороговЛимитов.ОбработатьДерево	14434	59	244.6
ВариантыПроверкиПороговЛимитов.ДеревоЗначенийПоЭмитентам	7697	59	130.5
ПроверкаЛимитовСлужебный.БазисыОтАктивов	7660	59000	0.1
ПроверкаЛимитов.ДанныеОбработкиКвалификаторов	4740	69	68.7
ВариантыПроверкиПороговЛимитов.НекаяВременнаяТаблица	2742	59	46.5
РаботаСЛимитами.ДобавитьВТ_ТаблицаНабораДанных	1207	1	1207
старт	1000	1	1000
ВариантыПроверкиПороговЛимитов.ДополненныйТекстЗапроса	61	59	1
